1	3	4	5	9	15	16	18	19	21	24	27
0.0313556+0.198903i	-0.157153+0.00680365i	0.0200003+0.0117148i	0.0200375+0.0117643i	0.000854649+0.00175757i	-0.00077689+0.00240819i	0.000121803-9.11475e-05i	0.000121197-9.14279e-05i	0.00202052+0.00685723i	-0.00426948+0.00811041i	0.000448625-0.000252491i	0.00046423-0.000268802i	-0.202988-0.085688i	-0.202994-0.0856467i	-5.15676e-07-4.19272e-06i	-1.87397e-07-3.86592e-06i
0.0448244+0.195771i	-0.159558+0.0344352i	0.021931+0.0100429i	0.0219883+0.0100073i	0.00098254+0.00163039i	-0.000460653+0.00251875i	0.000110363-0.000112533i	0.000109975-0.000112224i	0.00259535+0.00644374i	-0.00320584+0.00873133i	0.00042992-0.000310989i	0.000433341-0.000327978i	-0.212098-0.0593444i	-0.212095-0.0593048i	-1.56204e-06-3.92128e-06i	-1.15557e-06-3.84236e-06i
0.0578491+0.191822i	-0.157386+0.0605698i	0.0236258+0.0080582i	0.023593+0.0079955i	0.00109048+0.00149725i	-0.000141337+0.00257228i	9.51638e-05-0.000130573i	9.54263e-05-0.000130451i	0.00307298+0.00598232i	-0.00207367+0.00914839i	0.000408274-0.000372575i	0.000404947-0.000385179i	-0.217802-0.0325928i	-0.217792-0.0325565i	-2.36391e-06-3.35608e-06i	-2.01365e-06-3.48694e-06i
0.0703197+0.186922i	-0.151447+0.0846328i	0.0249385+0.00581495i	0.0248731+0.00584237i	0.00118075+0.00136193i	0.00017022+0.0025746i	7.79248e-05-0.000145322i	7.79775e-05-0.000145883i	0.00345369+0.00550903i	-0.000920231+0.00936223i	0.00037802-0.000439324i	0.000372546-0.000448212i	-0.220207-0.00585435i	-0.220191-0.00582222i	-2.86003e-06-2.67224e-06i	-2.63604e-06-2.93538e-06i
0.0820842+0.181291i	-0.142544+0.106279i	0.0258348+0.00350908i	0.0258532+0.00357441i	0.00125452+0.0012242i	0.000466344+0.00253255i	5.90681e-05-0.000157463i	5.84095e-05-0.000157824i	0.00375742+0.00505043i	0.000210944+0.00938512i	0.000333078-0.000508574i	0.000326009-0.000516194i	-0.219459+0.0204884i	-0.219438+0.0205161i	-3.09181e-06-2.02795e-06i	-3.01646e-06-2.35075e-06i
0.0933135+0.175011i	-0.131418+0.125384i	0.0264491+0.0012569i	0.0265117+0.00125116i	0.00131054+0.0010865i	0.000741723+0.002453i	3.83824e-05-0.000166748i	3.78328e-05-0.000166426i	0.00401137+0.00461386i	0.00128354+0.00923952i	0.000269904-0.000573862i	0.000258945-0.000580248i	-0.215742+0.0460938i	-0.215718+0.0461169i	-3.1676e-06-1.51595e-06i	-3.24403e-06-1.83959e-06i
0.103918+0.167951i	-0.118683+0.141986i	0.0268864-0.000996706i	0.0268963-0.00105391i	0.00135123+0.00095195i	0.000992799+0.00234274i	1.64892e-05-0.000172348i	1.65157e-05-0.000172011i	0.00423548+0.00418922i	0.00227136+0.00895493i	0.000189158-0.000627239i	0.000172956-0.000628754i	-0.209267+0.0706616i	-0.20924+0.07068i	-3.21123e-06-1.14612e-06i	-3.43444e-06-1.41249e-06i
0.113744+0.160291i	-0.104812+0.156193i	0.0270997-0.00331735i	0.0270512-0.00334421i	0.00137832+0.000820042i	0.00121763+0.00220827i	-5.24769e-06-0.000174231i	-5.09632e-06-0.00017433i	0.00443385+0.00375938i	0.00315972+0.00856368i	9.57004e-05-0.000661923i	7.70165e-05-0.000653564i	-0.200265+0.0939333i	-0.200236+0.0939468i	-3.31484e-06-8.59011e-07i	-3.66021e-06-1.00149e-06i
0.122937+0.152143i	-0.0901937+0.168126i	0.0270074-0.00563735i	0.026964-0.005601i	0.00139089+0.000692133i	0.00141573+0.00205547i	-2.60258e-05-0.000173347i	-2.61827e-05-0.000173688i	0.0045956+0.00331268i	0.00394482+0.00809655i	-2.82083e-06-0.000674337i	-1.6911e-05-0.000653769i	-0.188983+0.115691i	-0.188951+0.115699i	-3.51064e-06-5.60186e-07i	-3.91568e-06-5.15308e-07i
0.131476+0.143375i	-0.0751667+0.177932i	0.0266481-0.00783071i	0.0266686-0.00777351i	0.00139085+0.000571107i	0.00158754+0.00188925i	-4.60871e-05-0.000170472i	-4.66248e-05-0.000170649i	0.00470327+0.0028508i	0.00463139+0.00757918i	-9.81326e-05-0.000664954i	-9.92416e-05-0.000635524i	-0.175674+0.135757i	-0.175642+0.135759i	-3.7672e-06-1.60331e-07i	-4.12815e-06+1.02214e-07i
0.139178+0.134087i	-0.0600122+0.185799i	0.026149-0.00987066i	0.026215-0.009872i	0.00138071+0.00045663i	0.00173391+0.00171366i	-6.58165e-05-0.000165472i	-6.63832e-05-0.000165158i	0.00474352+0.00238905i	0.00522915+0.00703013i	-0.000183462-0.000637869i	-0.000166386-0.000608626i	-0.160598+0.153988i	-0.160566+0.153984i	-4.00681e-06+3.92321e-07i	-4.2018e-06+8.395e-07i
0.146122+0.124448i	-0.044929+0.191935i	0.0255745-0.0118428i	0.0255941-0.0119105i	0.00136003+0.000348658i	0.0018559+0.00153223i	-8.48491e-05-0.000157886i	-8.49004e-05-0.000157341i	0.00471472+0.00194986i	0.00574922+0.0064607i	-0.000255005-0.000599402i	-0.000221217-0.000581928i	-0.144014+0.170279i	-0.143983+0.170269i	-4.13527e-06+1.09592e-06i	-4.06797e-06+1.62205e-06i
0.152376+0.11437i	-0.0300455+0.196521i	0.0248711-0.0138138i	0.02481-0.0138538i	0.00132961+0.000249635i	0.0019549+0.0013481i	-0.000102337-0.000147874i	-0.000102-0.000147795i	0.00462831+0.00155371i	0.00620108+0.00587635i	-0.000312413-0.000556276i	-0.000270687-0.000559823i	-0.126175+0.184555i	-0.126148+0.18454i	-4.07287e-06+1.89728e-06i	-3.71731e-06+2.34652e-06i
0.157772+0.103833i	-0.0154605+0.199705i	0.0239652-0.0157421i	0.0239083-0.0156963i	0.00129236+0.000160125i	0.00203262+0.00116388i	-0.000117864-0.000136255i	-0.000117908-0.000136677i	0.00450442+0.00121166i	0.00659086+0.00527895i	-0.000358318-0.000513936i	-0.000322065-0.000541134i	-0.107331+0.196772i	-0.107307+0.196753i	-3.77762e-06+2.70903e-06i	-3.20205e-06+2.92433e-06i
0.162255+0.0930274i	-0.00126924+0.201619i	0.0228727-0.0175354i	0.0228961-0.0174686i	0.00124909+7.90095e-05i	0.00209088+0.000981532i	-0.000131768-0.00012371i	-0.000132399-0.000123881i	0.00436415+0.000922744i	0.00692097+0.00466939i	-0.000397166-0.000475427i	-0.000379608-0.000520491i	-0.0877201+0.206911i	-0.0877009+0.206889i	-3.2553e-06+3.4343e-06i	-2.61174e-06+3.31436e-06i
0.16594+0.0819881i	0.0124452+0.202403i	0.0216858-0.0191648i	0.0217526-0.0191615i	0.00119956+7.37494e-06i	0.00213137+0.000802545i	-0.000144561-0.000110224i	-0.000145137-0.000109783i	0.00422252+0.000676411i	0.00719089+0.00404962i	-0.000433763-0.000441026i	-0.000442949-0.000491229i	-0.0675702+0.21498i	-0.0675553+0.214956i	-2.5557e-06+3.99139e-06i	-2.03654e-06+3.53254e-06i
0.168761+0.0706215i	0.0256336+0.202205i	0.0204677-0.0206932i	0.0204971-0.0207484i	0.00114587-5.31624e-05i	0.00215562+0.000628144i	-0.000156234-9.53814e-05i	-0.00015629-9.47877e-05i	0.00408464+0.000458506i	0.00739878+0.00342384i	-0.000471943-0.000408613i	-0.000507559-0.000448401i	-0.047096+0.221006i	-0.0470851+0.220981i	-1.75797e-06+4.33174e-06i	-1.53477e-06+3.63785e-06i
0.170549+0.0590215i	0.0382824+0.201153i	0.0191903-0.0221955i	0.0191578-0.0222449i	0.00109043-0.000103389i	0.00216508+0.000459429i	-0.000166249-7.90709e-05i	-0.000166013-7.88091e-05i	0.00394633+0.000257812i	0.00754317+0.00279879i	-0.000513656-0.000374569i	-0.000566783-0.000390737i	-0.0264981+0.225036i	-0.0264906+0.225012i	-9.50548e-07+4.44775e-06i	-1.11693e-06+3.7036e-06i
0.171318+0.0473629i	0.0503916+0.199342i	0.0177771-0.0236732i	0.0177191-0.023671i	0.00103343-0.000144151i	0.00216129+0.000297313i	-0.000174131-6.17566e-05i	-0.000174014-6.18312e-05i	0.00379822+7.06331e-05i	0.00762445+0.002183i	-0.00055863-0.000334896i	-0.000614418-0.000320951i	-0.00596213+0.227133i	-0.00595758+0.227109i	-2.11195e-07+4.36996e-06i	-7.49782e-07+3.78713e-06i
0.171129+0.0356445i	0.0619534+0.196846i	0.016193-0.025057i	0.0161631-0.0250052i	0.000975328-0.000174272i	0.00214581+0.000142409i	-0.000179928-4.40904e-05i	-0.000180121-4.42503e-05i	0.00363145-9.80748e-05i	0.00764571+0.00158564i	-0.000604583-0.000286291i	-0.000646826-0.000244566i	0.0143416+0.227374i	0.0143436+0.227349i	4.07995e-07+4.15591e-06i	-3.76182e-07+3.90952e-06i
0.169862+0.0238378i	0.0729496+0.19374i	0.0144793-0.0262825i	0.0145099-0.0262266i	0.000918652-0.000193054i	0.00212004-4.9594e-06i	-0.000184084-2.63586e-05i	-0.000184559-2.63146e-05i	0.00344262-0.000236956i	0.00761289+0.0010151i	-0.000647869-0.000226918i	-0.000663868-0.000167878i	0.0342588+0.225845i	0.0342582+0.225821i	8.87968e-07+3.8743e-06i	5.89423e-08+4.05104e-06i
0.167366+0.0121i	0.0833683+0.190108i	0.0127057-0.0273514i	0.0127743-0.0273496i	0.000865528-0.000201841i	0.00208518-0.000144622i	-0.000186908-8.35599e-06i	-0.000187392-7.89547e-06i	0.00323634-0.000332693i	0.00753413+0.000477773i	-0.000684325-0.000156776i	-0.000668532-9.59108e-05i	0.0536503+0.222645i	0.0536469+0.22262i	1.24187e-06+3.58875e-06i	5.86442e-07+4.16176e-06i
0.163656+0.00062896i	0.0932165+0.186034i	0.0108979-0.0283187i	0.0109353-0.0283816i	0.000816314-0.000201655i	0.00204228-0.00027643i	-0.00018824+1.02384e-05i	-0.000188324+1.09792e-05i	0.00302497-0.000374838i	0.00741888-2.27301e-05i	-0.000710134-7.76441e-05i	-0.000665567-3.10461e-05i	0.0723926+0.217876i	0.072386+0.21785i	1.50736e-06+3.34483e-06i	1.20167e-06+4.18151e-06i
0.15877-0.0105153i	0.102518+0.181588i	0.00901531-0.0292268i	0.00897669-0.0292929i	0.000771875-0.000191948i	0.00199234-0.00040023i	-0.000187593+2.94085e-05i	-0.000187193+2.99264e-05i	0.00282573-0.000359429i	0.00727658-0.000485787i	-0.000722513+7.33128e-06i	-0.000659702+2.73146e-05i	0.0903773+0.211647i	0.090367+0.211622i	1.73471e-06+3.1625e-06i	1.86632e-06+4.06115e-06i
0.152604-0.021271i	0.111296+0.176815i	0.00699447-0.0300559i	0.0069163-0.0300544i	0.000734826-0.000172795i	0.0019364-0.000515945i	-0.000184591+4.87033e-05i	-0.000184172+4.86759e-05i	0.00265671-0.000290415i	0.00711561-0.000913456i	-0.000720111+9.42454e-05i	-0.000654097+8.20948e-05i	0.10751+0.204072i	0.107496+0.204048i	1.97366e-06+3.03496e-06i	2.52092e-06+3.77818e-06i
0.145038-0.0314042i	0.119565+0.171753i	0.00481008-0.0307341i	0.00477246-0.0306659i	0.000707509-0.00014621i	0.00187546-0.000623649i	-0.000179253+6.7532e-05i	-0.000179324+6.72623e-05i	0.00253294-0.000178757i	0.0069424-0.00130974i	-0.0007031+0.000179113i	-0.000649457+0.000137235i	0.123711+0.195267i	0.123693+0.195244i	2.26201e-06+2.93303e-06i	3.10261e-06+3.34252e-06i
0.136119-0.0406149i	0.127326+0.166441i	0.00249806-0.0311907i	0.00253581-0.0311248i	0.000690623-0.000114398i	0.00181043-0.00072356i	-0.0001719+8.55316e-05i	-0.000172399+8.56098e-05i	0.00246371-3.98241e-05i	0.00676104-0.00167963i	-0.000672982+0.000258462i	-0.000643998+0.000196215i	0.138914+0.185346i	0.138891+0.185326i	2.61779e-06+2.81373e-06i	3.562e-06+2.79202e-06i
0.125976-0.0487039i	0.134581+0.160926i	0.000125844-0.0314009i	0.000198325-0.0313968i	0.000684752-7.84192e-05i	0.00174204-0.000815962i	-0.000162818+0.000102674i	-0.000163212+0.000103293i	0.0024518+0.000109926i	0.00657323-0.00202811i	-0.000632186+0.000329755i	-0.000634151+0.000260855i	0.153063+0.174426i	0.153037+0.17441i	3.03617e-06+2.63065e-06i	3.87429e-06+2.18062e-06i
0.114677-0.0555123i	0.141346+0.155265i	-0.00225695-0.0313859i	-0.00221406-0.0314395i	0.000691698-3.96018e-05i	0.0016709-0.00090112i	-0.000152011+0.000119048i	-0.000151917+0.00011986i	0.00249438+0.000255919i	0.00637874-0.0023593i	-0.000583581+0.000391586i	-0.000615718+0.000330706i	0.166117+0.162623i	0.166088+0.162611i	3.49106e-06+2.34406e-06i	4.04217e-06+1.5634e-06i
0.102284-0.0607741i	0.147649+0.149503i	-0.00464304-0.0311742i	-0.00465824-0.0312375i	0.000713193-1.07233e-06i	0.0015976-0.000979263i	-0.000139237+0.000134547i	-0.000138752+0.000135116i	0.00258506+0.000387324i	0.006176-0.00267591i	-0.000529989+0.000443652i	-0.000585101+0.000403107i	0.178045+0.150049i	0.178014+0.150041i	3.94046e-06+1.9289e-06i	4.09096e-06+9.83405e-07i
0.0890176-0.0641591i	0.153522+0.143676i	-0.00705031-0.0307635i	-0.00710631-0.0307917i	0.000749111+3.31872e-05i	0.0015227-0.00105063i	-0.000124291+0.000148729i	-0.00012375+0.000148926i	0.00271648+0.000497479i	0.00596287-0.002979i	-0.000473787+0.000486544i	-0.000540275+0.00047382i	0.188824+0.136813i	0.188792+0.136811i	4.3343e-06+1.37959e-06i	4.05834e-06+4.63466e-07i
0.0752642-0.0654548i	0.158997+0.137806i	-0.00948208-0.0301135i	-0.00954008-0.0300908i	0.000797855+6.01679e-05i	0.00144676-0.00111553i	-0.000107275+0.00016095i	-0.000106916+0.000160915i	0.0028823+0.000583014i	0.00573738-0.003268i	-0.000416662+0.000521428i	-0.000481282+0.000537995i	0.198444+0.123023i	0.198412+0.123026i	4.62302e-06+7.11105e-07i	3.98225e-06+4.59315e-09i
0.0614106-0.0646246i	0.164097+0.131913i	-0.0118996-0.0291736i	-0.0119226-0.0291138i	0.000857932+7.78996e-05i	0.00137027-0.00117437i	-8.8658e-05+0.000170663i	-8.85421e-05+0.000170595i	0.00307844+0.000642152i	0.00549832-0.00354115i	-0.000359524+0.000549674i	-0.000410211+0.000591192i	0.2069+0.108781i	0.20687+0.108788i	4.76551e-06-4.33186e-08i	3.89052e-06-4.09566e-07i
0.0477539-0.0616961i	0.168844+0.126016i	-0.0142274-0.0279205i	-0.0141966-0.0278602i	0.000928171+8.41973e-05i	0.00129357-0.00122761i	-6.90931e-05+0.000177632i	-6.91717e-05+0.000177711i	0.00330298+0.000672819i	0.00524564-0.0037959i	-0.000302575+0.000572525i	-0.000330712+0.000630208i	0.214197+0.0941841i	0.214169+0.094196i	4.7351e-06-8.37181e-07i	3.7946e-06-8.04211e-07i
0.0345685-0.0566717i	0.173263+0.12014i	-0.016385-0.0263766i	-0.0163148-0.0263589i	0.00100659+7.64074e-05i	0.00121686-0.00127567i	-4.91541e-05+0.000181939i	-4.92615e-05+0.000182304i	0.00355526+0.000671176i	0.00498056-0.00402956i	-0.000245496+0.000590835i	-0.00024724+0.000653548i	0.220347+0.0793268i	0.220321+0.0793425i	4.52307e-06-1.61731e-06i	3.68852e-06-1.20356e-06i
0.0221822-0.0495729i	0.177387+0.114301i	-0.0183196-0.0245975i	-0.0182567-0.0246424i	0.00108995+5.25736e-05i	0.00114024-0.00131888i	-2.91717e-05+0.000183799i	-2.90365e-05+0.00018443i	0.00383418+0.000630967i	0.00470547-0.00423979i	-0.000187707+0.000604926i	-0.000164238+0.000661488i	0.225367+0.064297i	0.225344+0.0643159i	4.13928e-06-2.33091e-06i	3.55269e-06-1.62233e-06i
0.0109411-0.0405132i	0.181254+0.108506i	-0.0200175-0.0226415i	-0.0200111-0.0227228i	0.00117488+1.21854e-05i	0.00106378-0.00135745i	-9.27e-06+0.000183333i	-8.69681e-06+0.000183961i	0.00413654+0.00054385i	0.00442366-0.00442505i	-0.000128636+0.000614568i	-8.54242e-05+0.000655779i	0.229279+0.049178i	0.229259+0.0491994i	3.61026e-06-2.93198e-06i	3.36102e-06-2.06059e-06i
0.0011352-0.0296728i	0.184898+0.102749i	-0.021487-0.020542i	-0.0215478-0.0206014i	0.00125884-4.46213e-05i	0.000987592-0.00139156i	1.04464e-05+0.000180459i	1.13508e-05+0.000180716i	0.00445567+0.000400589i	0.00413893-0.00458488i	-6.79657e-05+0.00061906i	-1.33491e-05+0.000639111i	0.232112+0.0340477i	0.232095+0.0340712i	2.97533e-06-3.38635e-06i	3.08923e-06-2.50268e-06i
-0.00698477-0.0172225i	0.18834+0.0970104i	-0.0227302-0.0183043i	-0.0228168-0.0182959i	0.00133966-0.000118243i	0.000911808-0.00142132i	2.96964e-05+0.000174966i	3.05394e-05+0.000174702i	0.0047809+0.000192806i	0.00385514-0.00471995i	-5.81443e-06+0.000617406i	5.07589e-05+0.000614489i	0.233897+0.018979i	0.233884+0.019004i	2.28136e-06-3.67476e-06i	2.72231e-06-2.92023e-06i
-0.0131188-0.00333148i	0.191589+0.0912733i	-0.023721-0.0159244i	-0.0237713-0.0158527i	0.00141427-0.000209477i	0.000836598-0.00144689i	4.79473e-05+0.000166705i	4.83613e-05+0.000166156i	0.00509777-8.51408e-05i	0.00357578-0.00483201i	5.71772e-05+0.000608525i	0.000106856+0.000584666i	0.23467+0.00403925i	0.23466+0.00406524i	1.57722e-06-3.79387e-06i	2.25947e-06-3.27807e-06i
-0.0168935+0.0117212i	0.194642+0.0855258i	-0.0244058-0.0134179i	-0.0243857-0.0133334i	0.00147822-0.000318125i	0.000762115-0.00146843i	6.45026e-05+0.000155779i	6.44592e-05+0.000155381i	0.00538928-0.000434558i	0.00330364-0.00492365i	0.000119845+0.000591482i	0.000155741+0.000551738i	0.234469-0.0107092i	0.234463-0.0106827i	9.08441e-07-3.75528e-06i	1.71579e-06-3.54147e-06i
-0.0179705+0.0274558i	0.19749+0.0797662i	-0.0247261-0.0108394i	-0.024652-0.010798i	0.00152685-0.000441925i	0.000688485-0.00148611i	7.86942e-05+0.00014262i	7.85138e-05+0.000142645i	0.00563753-0.000851432i	0.00304057-0.00499801i	0.000180586+0.000565691i	0.000198614+0.000516957i	0.233335-0.0252093i	0.233333-0.0251827i	3.12865e-07-3.58295e-06i	1.12041e-06-3.68314e-06i
-0.0161983+0.0432346i	0.20013+0.0740013i	-0.0246475-0.00828112i	-0.0245687-0.00830484i	0.00155671-0.000576874i	0.000615816-0.00150007i	9.00721e-05+0.000127914i	9.01387e-05+0.000128278i	0.00582582-0.00132624i	0.00278743-0.0050584i	0.000237512+0.000531064i	0.000236644+0.000480758i	0.231312-0.0394091i	0.231313-0.0393828i	-1.8239e-07-3.30955e-06i	5.12003e-07-3.68849e-06i
-0.011674+0.0584067i	0.202563+0.0682405i	-0.024181-0.00585046i	-0.0241429-0.00591984i	0.00156608-0.000718432i	0.000544217-0.00151043i	9.84988e-05+0.000112443i	9.89685e-05+0.000112822i	0.00594054-0.00184458i	0.00254408-0.00510797i	0.000288641+0.000488099i	0.000270625+0.000442972i	0.228444-0.0532616i	0.228448-0.053236i	-5.62463e-07-2.97222e-06i	-6.732e-08-3.55836e-06i
-0.00468089+0.0724328i	0.204797+0.0624907i	-0.0233844-0.00364118i	-0.0234029-0.00371521i	0.00155447-0.00086232i	0.000473822-0.0015173i	0.000104121+9.69019e-05i	0.000104866+9.7009e-05i	0.00597273-0.00238851i	0.00230955-0.00514941i	0.000332099+0.000437888i	0.000300794+0.000403126i	0.224777-0.0667244i	0.224784-0.0666999i	-8.24784e-07-2.60835e-06i	-5.78537e-07-3.30887e-06i
