1	3	4	5	9	15	16	18	19	21	24	27
0.124145-0.0961342i	0.0782559+0.0881273i	-0.00829169+0.00604969i	-0.00835687+0.00667317i	-0.000444812+0.00336844i	-0.000768936+0.00168244i	5.59861e-05-7.41589e-05i	4.44069e-05-8.87486e-05i	-0.00446362+0.0113741i	-0.00471329+0.00545733i	0.000610433+2.38964e-05i	0.000339339+3.20834e-05i	0.101479+0.170216i	0.101502+0.170262i	-5.95322e-06+3.50927e-06i	-3.88925e-06+1.00583e-06i
0.0190987-0.0725866i	0.14868+0.0422891i	-0.00206436+0.00189512i	-0.00262289+0.00172912i	0.000912361+0.00259573i	-0.000618351+0.002416i	9.09424e-06-2.61802e-05i	8.71587e-06-2.44983e-05i	7.10142e-05+0.0103073i	-0.0044479+0.00833544i	7.6342e-05-0.000582436i	0.000172882-0.00029272i	0.163882+0.114188i	0.163924+0.114182i	3.78726e-06+5.02205e-06i	7.62599e-07+3.73288e-06i
0.043842-0.000954193i	0.15753-0.0419681i	0.00659019+0.0211764i	0.00683507+0.0208886i	0.000830377+0.0020137i	0.000367235+0.00297299i	-0.000172363-9.65962e-05i	-0.000174004-8.82998e-05i	0.00172772+0.00856699i	-0.00136846+0.0109287i	-0.00102666-0.000324139i	-0.000756252-0.000478857i	0.197718+0.0403628i	0.197727+0.0403293i	8.6532e-06-5.74502e-06i	8.11604e-06-2.51791e-06i
0.0537057-0.0389493i	0.106649-0.096849i	0.0578751+0.0161934i	0.057819+0.0163695i	0.00144025+0.0020075i	0.00156787+0.00268051i	-0.000421774+0.000323861i	-0.000422615+0.000320607i	0.00303729+0.00800425i	0.00281458+0.0110478i	-0.00146942+0.00115496i	-0.00166261+0.00093019i	0.200479-0.0382332i	0.200458-0.0382541i	-1.76547e-06-1.64844e-05i	1.43499e-06-1.65649e-05i
0.0251696-0.0134334i	0.0616042-0.0903814i	0.0788794-0.0562514i	0.0789505-0.0564934i	0.00169916+0.00130831i	0.00213766+0.00190433i	0.00010054+0.000837674i	0.000100323+0.000841018i	0.0046918+0.00681521i	0.00590265+0.00927128i	-0.000239441+0.00266925i	-0.000414364+0.00289074i	0.17469-0.109919i	0.174663-0.109919i	-1.93928e-05-1.16068e-05i	-1.99087e-05-1.46479e-05i
0.0549676+0.0110801i	0.059659-0.0872136i	0.0247237-0.108686i	0.0248429-0.108385i	0.00160455+0.00108062i	0.00238383+0.00141245i	0.000802554+0.000530117i	0.000797735+0.000531234i	0.00515099+0.00533221i	0.00763221+0.00725401i	0.00200415+0.00264754i	0.00224227+0.00278612i	0.12643-0.165815i	0.126409-0.165798i	-2.60706e-05+8.10423e-06i	-2.88962e-05+8.86993e-06i
0.0914265-0.000481658i	0.0510093-0.108365i	-0.0336179-0.108207i	-0.0338663-0.108362i	0.0017637+0.00103609i	0.00273626+0.000904265i	0.000959836-7.44464e-05i	0.000963598-7.32144e-05i	0.00531857+0.00511268i	0.00897077+0.00552652i	0.00356982+0.000902587i	0.00368797+0.000665586i	0.0637257-0.200446i	0.0637176-0.200418i	-1.42032e-05+2.6562e-05i	-1.33532e-05+2.91645e-05i
0.108836-0.0366834i	0.0253026-0.127756i	-0.0749051-0.0850322i	-0.0746962-0.0849896i	0.00214819+0.000835938i	0.00297518+0.000209174i	0.000772143-0.000558789i	0.000771337-0.000555898i	0.00682426+0.00512196i	0.0103503+0.0035052i	0.00350841-0.00132859i	0.00328921-0.00143352i	-0.0048796-0.211728i	-0.00487046-0.211699i	7.0383e-06+3.02203e-05i	9.43194e-06+2.94226e-05i
0.1034-0.0740934i	-0.00941833-0.135312i	-0.0989072-0.053433i	-0.0990762-0.0534682i	0.00249423+0.000381852i	0.00297203-0.000571325i	0.000416224-0.000834944i	0.000419014-0.000835349i	0.00882691+0.0037258i	0.0112646+0.00077545i	0.0022551-0.00282014i	0.00216286-0.0026257i	-0.0714639-0.200531i	-0.07144-0.20051i	2.36375e-05+1.92084e-05i	2.29986e-05+1.70086e-05i
0.0843463-0.103232i	-0.0445256-0.129755i	-0.111118-0.0195822i	-0.110946-0.0195482i	0.00265993-0.000220256i	0.00271376-0.00130021i	2.1521e-05-0.00092542i	2.11543e-05-0.000924297i	0.00986342+0.00137496i	0.0111021-0.00229583i	0.000744291-0.00332784i	0.000915867-0.00324589i	-0.129515-0.169965i	-0.129483-0.169958i	2.90415e-05+2.42242e-06i	2.70338e-05+2.82515e-06i
0.0581341-0.121732i	-0.0751265-0.112892i	-0.112291+0.0145403i	-0.11245+0.0145222i	0.00261364-0.000863347i	0.0022576-0.00188649i	-0.000358078-0.000846894i	-0.000355733-0.000848127i	0.0100176-0.000888189i	0.00982456-0.00498518i	-0.000572556-0.00324672i	-0.000493827-0.00339756i	-0.174334-0.124581i	-0.174302-0.124592i	2.48885e-05-1.24728e-05i	2.50076e-05-1.06763e-05i
0.0294108-0.129658i	-0.0968298-0.0879833i	-0.104386+0.0473301i	-0.104265+0.0473546i	0.00237472-0.00145744i	0.00168484-0.00227126i	-0.000664204-0.000634529i	-0.000664668-0.000634146i	0.0097837-0.00305941i	0.00789986-0.00682531i	-0.00175452-0.00282033i	-0.00188155-0.00290169i	-0.203124-0.0696229i	-0.203101-0.0696488i	1.49718e-05-2.24531e-05i	1.65169e-05-2.2274e-05i
0.00278465-0.12789i	-0.107492-0.0593033i	-0.086145+0.0772982i	-0.0862297+0.07724i	0.0019857-0.00193103i	0.00109123-0.0024457i	-0.000865627-0.000313138i	-0.000864043-0.000313764i	0.00892952-0.0052602i	0.00588296-0.00779454i	-0.00280561-0.00193898i	-0.00288837-0.00184048i	-0.214869-0.0104079i	-0.214863-0.0104396i	1.9469e-06-2.64449e-05i	2.40134e-06-2.76837e-05i
